cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,src_quantize_1_1,"waiting_for=[t54(DRAM,401408B)]"
39412,0,LOADING,COMPUTING,0,src_quantize_1_1,"compute_cycles=2352"
41764,0,COMPUTING,IDLE,1,Conv_109,"workload_done"
41765,0,IDLE,LOADING,1,Conv_109,"waiting_for=[t120(DRAM,4096B),t49(DRAM,1114112B)]"
152295,0,LOADING,COMPUTING,1,Conv_109,"compute_cycles=34816"
187111,0,COMPUTING,IDLE,2,Conv_109,"workload_done"
187112,0,IDLE,LOADING,2,Conv_109,"waiting_for=[t121(DRAM,3072B),t49(DRAM,1114112B)]"
297568,0,LOADING,COMPUTING,2,Conv_109,"compute_cycles=26112"
323680,0,COMPUTING,IDLE,3,Conv_109,"workload_done"
323681,0,IDLE,LOADING,3,Conv_109,"waiting_for=[t122(DRAM,4096B),t49(DRAM,1114112B)]"
434219,0,LOADING,COMPUTING,3,Conv_109,"compute_cycles=34816"
469035,0,COMPUTING,IDLE,4,Conv_109,"workload_done"
469036,0,IDLE,LOADING,4,Conv_109,"waiting_for=[t123(DRAM,3072B),t49(DRAM,1114112B)]"
578992,0,LOADING,COMPUTING,4,Conv_109,"compute_cycles=26112"
605104,0,COMPUTING,IDLE,5,Conv_109,"workload_done"
605105,0,IDLE,LOADING,5,Conv_109,"waiting_for=[t124(DRAM,4096B),t49(DRAM,1114112B)]"
715604,0,LOADING,COMPUTING,5,Conv_109,"compute_cycles=34816"
750420,0,COMPUTING,IDLE,6,Conv_109,"workload_done"
750421,0,IDLE,LOADING,6,Conv_109,"waiting_for=[t125(DRAM,3072B),t49(DRAM,1114112B)]"
860799,0,LOADING,COMPUTING,6,Conv_109,"compute_cycles=26112"
886911,0,COMPUTING,IDLE,7,Conv_109,"workload_done"
886912,0,IDLE,LOADING,7,Conv_109,"waiting_for=[t126(DRAM,2048B),t49(DRAM,1114112B)]"
997218,0,LOADING,COMPUTING,7,Conv_109,"compute_cycles=17408"
1014626,0,COMPUTING,IDLE,8,Conv_109,"workload_done"
1014627,0,IDLE,LOADING,8,Conv_109,"waiting_for=[t127(DRAM,1536B),t49(DRAM,1114112B)]"
1124930,0,LOADING,COMPUTING,8,Conv_109,"compute_cycles=13056"
1137986,0,COMPUTING,IDLE,9,Gemm_121,"workload_done"
1137987,0,IDLE,LOADING,9,Gemm_121,"waiting_for=[t158(DRAM,2048B),t53(DRAM,2080000B)]"
1343432,0,LOADING,COMPUTING,9,Gemm_121,"compute_cycles=8125"
1351557,0,COMPUTING,WRITEBACK,9,Gemm_121,"writeback_to_dram"
1351808,0,WRITEBACK,IDLE,10,Conv_0,"writeback_complete"
1351809,0,IDLE,LOADING,10,Conv_0,"waiting_for=[t55(C0,401408B),t0(DRAM,27136B)]"
1354445,0,LOADING,COMPUTING,10,Conv_0,"compute_cycles=1329664"
2684109,0,COMPUTING,IDLE,11,Add_110_1,"workload_done"
2684110,0,IDLE,LOADING,11,Add_110_1,"waiting_for=[t136(DRAM,16384B),t128(C0,16384B)]"
2685734,0,LOADING,COMPUTING,11,Add_110_1,"compute_cycles=256"
2685990,0,COMPUTING,IDLE,12,Add_110_1,"workload_done"
2685991,0,IDLE,LOADING,12,Add_110_1,"waiting_for=[t137(DRAM,12288B),t129(C0,12288B)]"
2687160,0,LOADING,COMPUTING,12,Add_110_1,"compute_cycles=192"
2687352,0,COMPUTING,IDLE,13,Add_110_1,"workload_done"
2687353,0,IDLE,LOADING,13,Add_110_1,"waiting_for=[t138(DRAM,16384B),t130(C0,16384B)]"
2689386,0,LOADING,COMPUTING,13,Add_110_1,"compute_cycles=256"
2689642,0,COMPUTING,IDLE,14,Add_110_1,"workload_done"
2689643,0,IDLE,LOADING,14,Add_110_1,"waiting_for=[t139(DRAM,12288B),t131(C0,12288B)]"
2690881,0,LOADING,COMPUTING,14,Add_110_1,"compute_cycles=192"
2691073,0,COMPUTING,IDLE,15,Add_110_1,"workload_done"
2691074,0,IDLE,LOADING,15,Add_110_1,"waiting_for=[t140(DRAM,16384B),t132(C0,16384B)]"
2692691,0,LOADING,COMPUTING,15,Add_110_1,"compute_cycles=256"
2692947,0,COMPUTING,IDLE,16,Add_110_1,"workload_done"
2692948,0,IDLE,LOADING,16,Add_110_1,"waiting_for=[t141(DRAM,12288B),t133(C0,12288B)]"
2694117,0,LOADING,COMPUTING,16,Add_110_1,"compute_cycles=192"
2694309,0,COMPUTING,IDLE,17,Add_110_1,"workload_done"
2694310,0,IDLE,LOADING,17,Add_110_1,"waiting_for=[t142(DRAM,8192B),t134(C0,8192B)]"
2695100,0,LOADING,COMPUTING,17,Add_110_1,"compute_cycles=128"
2695228,0,COMPUTING,IDLE,18,Add_110_1,"workload_done"
2695229,0,IDLE,LOADING,18,Add_110_1,"waiting_for=[t143(DRAM,6144B),t135(C0,6144B)]"
2695869,0,LOADING,COMPUTING,18,Add_110_1,"compute_cycles=96"
2695965,0,COMPUTING,IDLE,19,MaxPool_2_1,"workload_done"
2695966,0,IDLE,LOADING,19,MaxPool_2_1,"waiting_for=[t56(C0,802816B)]"
2695967,0,LOADING,COMPUTING,19,MaxPool_2_1,"compute_cycles=3136"
2699103,0,COMPUTING,IDLE,20,Conv_112,"workload_done"
2699104,0,IDLE,LOADING,20,Conv_112,"waiting_for=[t148(C0,12288B),t149(C0,16384B),t150(C0,12288B),t151(C0,16384B),t50(DRAM,1064960B)]"
2804130,0,LOADING,COMPUTING,20,Conv_112,"compute_cycles=116480"
2920610,0,COMPUTING,IDLE,21,Conv_112,"workload_done"
2920611,0,IDLE,LOADING,21,Conv_112,"waiting_for=[t144(C0,6144B),t145(C0,8192B),t146(C0,12288B),t147(C0,16384B),t50(DRAM,1064960B)]"
3026107,0,LOADING,COMPUTING,21,Conv_112,"compute_cycles=87360"
3113467,0,COMPUTING,IDLE,22,Conv_3,"workload_done"
