cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,src_quantize_1_1,"waiting_for=[t54(DRAM,401408B)]"
6372,0,LOADING,COMPUTING,0,src_quantize_1_1,"compute_cycles=50190"
56562,0,COMPUTING,IDLE,1,Conv_109,"workload_done"
56563,0,IDLE,LOADING,1,Conv_109,"waiting_for=[t120(DRAM,4096B),t49(DRAM,1114112B)]"
74135,0,LOADING,COMPUTING,1,Conv_109,"compute_cycles=2622"
76757,0,COMPUTING,IDLE,2,Conv_109,"workload_done"
76758,0,IDLE,LOADING,2,Conv_109,"waiting_for=[t121(DRAM,3072B),t49(DRAM,1114112B)]"
94314,0,LOADING,COMPUTING,2,Conv_109,"compute_cycles=1966"
96280,0,COMPUTING,IDLE,3,Conv_109,"workload_done"
96281,0,IDLE,LOADING,3,Conv_109,"waiting_for=[t122(DRAM,4096B),t49(DRAM,1114112B)]"
113853,0,LOADING,COMPUTING,3,Conv_109,"compute_cycles=2622"
116475,0,COMPUTING,IDLE,4,Conv_109,"workload_done"
116476,0,IDLE,LOADING,4,Conv_109,"waiting_for=[t123(DRAM,3072B),t49(DRAM,1114112B)]"
134032,0,LOADING,COMPUTING,4,Conv_109,"compute_cycles=1966"
135998,0,COMPUTING,IDLE,5,Conv_109,"workload_done"
135999,0,IDLE,LOADING,5,Conv_109,"waiting_for=[t124(DRAM,4096B),t49(DRAM,1114112B)]"
153571,0,LOADING,COMPUTING,5,Conv_109,"compute_cycles=2622"
156193,0,COMPUTING,IDLE,6,Conv_109,"workload_done"
156194,0,IDLE,LOADING,6,Conv_109,"waiting_for=[t125(DRAM,3072B),t49(DRAM,1114112B)]"
173750,0,LOADING,COMPUTING,6,Conv_109,"compute_cycles=1966"
175716,0,COMPUTING,IDLE,7,Conv_109,"workload_done"
175717,0,IDLE,LOADING,7,Conv_109,"waiting_for=[t126(DRAM,2048B),t49(DRAM,1114112B)]"
193257,0,LOADING,COMPUTING,7,Conv_109,"compute_cycles=1568"
194825,0,COMPUTING,IDLE,8,Conv_109,"workload_done"
194826,0,IDLE,LOADING,8,Conv_109,"waiting_for=[t127(DRAM,1536B),t49(DRAM,1114112B)]"
212358,0,LOADING,COMPUTING,8,Conv_109,"compute_cycles=1193"
213551,0,COMPUTING,IDLE,9,Gemm_121,"workload_done"
213552,0,IDLE,LOADING,9,Gemm_121,"waiting_for=[t158(DRAM,2048B),t53(DRAM,2080000B)]"
246184,0,LOADING,COMPUTING,9,Gemm_121,"compute_cycles=67008"
313192,0,COMPUTING,WRITEBACK,9,Gemm_121,"writeback_to_dram"
313324,0,WRITEBACK,IDLE,10,Conv_0,"writeback_complete"
313325,0,IDLE,LOADING,10,Conv_0,"waiting_for=[t55(C0,401408B),t0(DRAM,27136B)]"
313849,0,LOADING,COMPUTING,10,Conv_0,"compute_cycles=77373"
391222,0,COMPUTING,IDLE,11,Add_110_1,"workload_done"
391223,0,IDLE,LOADING,11,Add_110_1,"waiting_for=[t136(DRAM,16384B),t128(C0,16384B)]"
391579,0,LOADING,COMPUTING,11,Add_110_1,"compute_cycles=530"
392109,0,COMPUTING,IDLE,12,Add_110_1,"workload_done"
392110,0,IDLE,LOADING,12,Add_110_1,"waiting_for=[t137(DRAM,12288B),t129(C0,12288B)]"
392402,0,LOADING,COMPUTING,12,Add_110_1,"compute_cycles=402"
392804,0,COMPUTING,IDLE,13,Add_110_1,"workload_done"
392805,0,IDLE,LOADING,13,Add_110_1,"waiting_for=[t138(DRAM,16384B),t130(C0,16384B)]"
393161,0,LOADING,COMPUTING,13,Add_110_1,"compute_cycles=530"
393691,0,COMPUTING,IDLE,14,Add_110_1,"workload_done"
393692,0,IDLE,LOADING,14,Add_110_1,"waiting_for=[t139(DRAM,12288B),t131(C0,12288B)]"
393984,0,LOADING,COMPUTING,14,Add_110_1,"compute_cycles=402"
394386,0,COMPUTING,IDLE,15,Add_110_1,"workload_done"
394387,0,IDLE,LOADING,15,Add_110_1,"waiting_for=[t140(DRAM,16384B),t132(C0,16384B)]"
394743,0,LOADING,COMPUTING,15,Add_110_1,"compute_cycles=530"
395273,0,COMPUTING,IDLE,16,Add_110_1,"workload_done"
395274,0,IDLE,LOADING,16,Add_110_1,"waiting_for=[t141(DRAM,12288B),t133(C0,12288B)]"
395566,0,LOADING,COMPUTING,16,Add_110_1,"compute_cycles=402"
395968,0,COMPUTING,IDLE,17,Add_110_1,"workload_done"
395969,0,IDLE,LOADING,17,Add_110_1,"waiting_for=[t142(DRAM,8192B),t134(C0,8192B)]"
396197,0,LOADING,COMPUTING,17,Add_110_1,"compute_cycles=274"
396471,0,COMPUTING,IDLE,18,Add_110_1,"workload_done"
