core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,compute_cycles,writeback_cycles,data_sources
0,0,src_quantize_1_1,,0,6372,56562,56562,6372,50190,0,"waiting_for=[t54(DRAM,401408B)]"
0,1,Conv_109,,56563,74135,76757,76757,17572,2622,0,"waiting_for=[t120(DRAM,4096B),t49(DRAM,1114112B)]"
0,2,Conv_109,,76758,94314,96280,96280,17556,1966,0,"waiting_for=[t121(DRAM,3072B),t49(DRAM,1114112B)]"
0,3,Conv_109,,96281,113853,116475,116475,17572,2622,0,"waiting_for=[t122(DRAM,4096B),t49(DRAM,1114112B)]"
0,4,Conv_109,,116476,134032,135998,135998,17556,1966,0,"waiting_for=[t123(DRAM,3072B),t49(DRAM,1114112B)]"
0,5,Conv_109,,135999,153571,156193,156193,17572,2622,0,"waiting_for=[t124(DRAM,4096B),t49(DRAM,1114112B)]"
0,6,Conv_109,,156194,173750,175716,175716,17556,1966,0,"waiting_for=[t125(DRAM,3072B),t49(DRAM,1114112B)]"
0,7,Conv_109,,175717,193257,194825,194825,17540,1568,0,"waiting_for=[t126(DRAM,2048B),t49(DRAM,1114112B)]"
0,8,Conv_109,,194826,212358,213551,213551,17532,1193,0,"waiting_for=[t127(DRAM,1536B),t49(DRAM,1114112B)]"
0,9,Gemm_121,,213552,246184,313192,313324,32632,67008,132,"waiting_for=[t158(DRAM,2048B),t53(DRAM,2080000B)]"
0,10,Conv_0,,313325,313849,391222,391222,524,77373,0,"waiting_for=[t55(C0,401408B),t0(DRAM,27136B)]"
0,11,Add_110_1,,391223,391579,392109,392109,356,530,0,"waiting_for=[t136(DRAM,16384B),t128(C0,16384B)]"
0,12,Add_110_1,,392110,392402,392804,392804,292,402,0,"waiting_for=[t137(DRAM,12288B),t129(C0,12288B)]"
0,13,Add_110_1,,392805,393161,393691,393691,356,530,0,"waiting_for=[t138(DRAM,16384B),t130(C0,16384B)]"
0,14,Add_110_1,,393692,393984,394386,394386,292,402,0,"waiting_for=[t139(DRAM,12288B),t131(C0,12288B)]"
0,15,Add_110_1,,394387,394743,395273,395273,356,530,0,"waiting_for=[t140(DRAM,16384B),t132(C0,16384B)]"
0,16,Add_110_1,,395274,395566,395968,395968,292,402,0,"waiting_for=[t141(DRAM,12288B),t133(C0,12288B)]"
0,17,Add_110_1,,395969,396197,396471,396471,228,274,0,"waiting_for=[t142(DRAM,8192B),t134(C0,8192B)]"
0,18,Add_110_1,,396472,396668,396878,396878,196,210,0,"waiting_for=[t143(DRAM,6144B),t135(C0,6144B)]"
0,19,MaxPool_2_1,,396879,396880,421984,421984,1,25104,0,"waiting_for=[t56(C0,802816B)]"
0,20,Conv_112,,421985,438725,474061,474061,16740,35336,0,"waiting_for=[t148(C0,12288B),t149(C0,16384B),t150(C0,12288B),t151(C0,16384B),t50(DRAM,1064960B)]"
0,21,Conv_112,,474062,490802,525639,525639,16740,34837,0,"waiting_for=[t144(C0,6144B),t145(C0,8192B),t146(C0,12288B),t147(C0,16384B),t50(DRAM,1064960B)]"
