cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t1(DRAM,77280B)]"
0,1,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t2(DRAM,76608B),t11(DRAM,200704B)]"
0,2,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t2(DRAM,76608B),t7(DRAM,200704B)]"
0,3,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t1(DRAM,77280B)]"
473,0,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=473,loading_core_cycles=0"
474,0,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
1562,1,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=1562,loading_core_cycles=0"
1563,1,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
1968,0,WRITEBACK,IDLE,1,pool1,"writeback_complete"
1969,0,IDLE,LOADING,1,pool1,"waiting_for=[t4(DRAM,204288B)]"
2154,2,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=2154,loading_core_cycles=0"
2155,2,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
2279,3,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=2279,loading_core_cycles=0"
2280,3,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
2840,1,WRITEBACK,IDLE,1,pool1,"writeback_complete"
2841,1,IDLE,LOADING,1,pool1,"waiting_for=[t11(DRAM,200704B),t16(DRAM,100352B)]"
3644,0,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=1675,loading_core_cycles=0"
3902,2,WRITEBACK,IDLE,1,pool1,"writeback_complete"
3903,2,IDLE,LOADING,1,pool1,"waiting_for=[t7(DRAM,200704B)]"
4334,3,WRITEBACK,IDLE,1,pool1,"writeback_complete"
4335,3,IDLE,LOADING,1,pool1,"waiting_for=[t8(DRAM,204288B),t13(DRAM,100352B)]"
4428,0,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
4733,1,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=1892,loading_core_cycles=0"
5517,0,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
5517,1,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
5518,0,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t12(DRAM,2048B),t13(DRAM,100352B)]"
5553,2,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=1650,loading_core_cycles=0"
5840,1,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
5841,1,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t19(DRAM,2048B),t16(DRAM,100352B),t26(DRAM,103936B)]"
6241,0,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=723,loading_core_cycles=0"
6242,0,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
6337,2,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
6398,3,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=2063,loading_core_cycles=0"
6539,0,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
6540,0,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t20(DRAM,18432B),t21(DRAM,103936B)]"
6650,2,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
6651,2,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t12(DRAM,2048B),t16(DRAM,100352B)]"
6864,1,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=1023,loading_core_cycles=0"
6865,1,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
7182,3,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
7231,1,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
7232,1,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t27(DRAM,18432B),t26(DRAM,103936B),t32(DRAM,100352B)]"
7322,0,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=782,loading_core_cycles=0"
7323,0,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
7632,2,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=981,loading_core_cycles=0"
7633,2,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
7820,3,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
7821,3,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t19(DRAM,2048B),t13(DRAM,100352B)]"
7921,0,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
7922,0,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t28(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
8255,2,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
8256,2,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t20(DRAM,18432B),t26(DRAM,103936B)]"
8320,1,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=1088,loading_core_cycles=0"
8321,1,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
8654,3,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=833,loading_core_cycles=0"
8655,3,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
9065,1,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
9066,1,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t35(DRAM,8192B),t32(DRAM,100352B),t38(DRAM,100352B)]"
9179,3,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
9180,3,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t27(DRAM,18432B),t21(DRAM,103936B),t29(DRAM,100352B)]"
9280,0,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=1358,loading_core_cycles=0"
9281,0,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
9590,2,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=1334,loading_core_cycles=0"
9591,2,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
10200,1,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=1134,loading_core_cycles=0"
10201,1,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
10201,2,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
10202,2,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t28(DRAM,8192B),t32(DRAM,100352B),t38(DRAM,100352B)]"
10631,0,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
10632,0,IDLE,LOADING,5,conv_2_br,"waiting_for=[t36(DRAM,8192B),t37(DRAM,100352B),t40(DRAM,200704B),t42(DRAM,200704B)]"
11032,3,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=1852,loading_core_cycles=0"
11033,3,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
11651,2,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=1449,loading_core_cycles=0"
11652,2,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
12590,1,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
12591,1,IDLE,LOADING,5,conv_2_br,"waiting_for=[t39(DRAM,8192B),t38(DRAM,100352B),t52(DRAM,200704B),t54(DRAM,200704B)]"
12707,3,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
12708,3,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t35(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
13139,2,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
13140,2,IDLE,LOADING,5,conv_2_br,"waiting_for=[t36(DRAM,8192B),t38(DRAM,100352B),t44(DRAM,200704B),t46(DRAM,200704B)]"
13929,0,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=3297,loading_core_cycles=0"
13930,0,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
15243,3,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=2535,loading_core_cycles=0"
15244,3,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
15366,1,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=2775,loading_core_cycles=0"
15367,1,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
16190,0,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
16191,0,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t40(DRAM,200704B),t42(DRAM,200704B)]"
16608,3,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
16609,3,IDLE,LOADING,5,conv_2_br,"waiting_for=[t39(DRAM,8192B),t37(DRAM,100352B),t48(DRAM,200704B),t50(DRAM,200704B)]"
17038,1,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
17039,1,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t52(DRAM,200704B),t54(DRAM,200704B),t60(DRAM,401408B)]"
17831,2,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=4691,loading_core_cycles=0"
17832,2,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
19042,0,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=2851,loading_core_cycles=0"
20137,3,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=3528,loading_core_cycles=0"
20138,3,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
21136,2,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
21137,2,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t44(DRAM,200704B),t46(DRAM,200704B)]"
21567,3,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
21568,3,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t48(DRAM,200704B),t50(DRAM,200704B),t57(DRAM,401408B)]"
22178,0,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
23143,1,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=6104,loading_core_cycles=0"
23560,2,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=2423,loading_core_cycles=0"
24558,0,WRITEBACK,IDLE,7,conv_2_1_a,"writeback_complete"
24559,0,IDLE,LOADING,7,conv_2_1_a,"waiting_for=[t56(DRAM,8192B),t57(DRAM,401408B)]"
26133,3,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=4565,loading_core_cycles=0"
26279,1,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
26696,2,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
27008,0,LOADING,COMPUTING,7,conv_2_1_a,"compute_cycles=0,loading_dram_cycles=2449,loading_core_cycles=0"
27009,0,COMPUTING,WRITEBACK,7,conv_2_1_a,"writeback_to_dram"
27492,1,WRITEBACK,IDLE,7,conv_2_1_a,"writeback_complete"
27493,1,IDLE,LOADING,7,conv_2_1_a,"waiting_for=[t63(DRAM,8192B),t60(DRAM,401408B),t70(DRAM,103936B)]"
27593,0,WRITEBACK,IDLE,8,conv_2_1_b,"writeback_complete"
27594,0,IDLE,LOADING,8,conv_2_1_b,"waiting_for=[t64(DRAM,18432B),t65(DRAM,103936B)]"
28023,2,WRITEBACK,IDLE,7,conv_2_1_a,"writeback_complete"
