core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,loading_dram_cycles,loading_core_cycles,compute_cycles,writeback_cycles,idle_before_cycles,data_sources
0,0,conv1,,0,473,474,1968,473,0,0,1,1494,0,"waiting_for=[t0(DRAM,4704B),t1(DRAM,77280B)]"
0,1,pool1,,1969,3644,4428,5517,1675,0,0,784,1089,0,"waiting_for=[t4(DRAM,204288B)]"
0,2,conv_2_0_a,,5518,6241,6242,6539,723,0,0,1,297,0,"waiting_for=[t12(DRAM,2048B),t13(DRAM,100352B)]"
0,3,conv_2_0_b,,6540,7322,7323,7921,782,0,0,1,598,0,"waiting_for=[t20(DRAM,18432B),t21(DRAM,103936B)]"
0,4,conv_2_0_c,,7922,9280,9281,10631,1358,0,0,1,1350,0,"waiting_for=[t28(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
0,5,conv_2_br,,10632,13929,13930,16190,3297,0,0,1,2260,0,"waiting_for=[t36(DRAM,8192B),t37(DRAM,100352B),t40(DRAM,200704B),t42(DRAM,200704B)]"
0,6,conv_2_0_res,,16191,19042,22178,24558,2851,0,0,3136,2380,0,"waiting_for=[t40(DRAM,200704B),t42(DRAM,200704B)]"
0,7,conv_2_1_a,,24559,27008,27009,27593,2449,0,0,1,584,0,"waiting_for=[t56(DRAM,8192B),t57(DRAM,401408B)]"
0,8,conv_2_1_b,,27594,29791,29792,30353,2197,0,0,1,561,0,"waiting_for=[t64(DRAM,18432B),t65(DRAM,103936B)]"
0,9,conv_2_1_c,,30354,33027,33028,34241,2673,0,0,1,1213,0,"waiting_for=[t72(DRAM,8192B),t73(DRAM,100352B),t80(DRAM,200704B),t81(DRAM,200704B)]"
0,10,conv_2_1_res,,34242,36345,39481,41419,2103,0,0,3136,1938,0,"waiting_for=[t80(DRAM,200704B),t81(DRAM,200704B)]"
0,11,conv_2_2_a,,41420,45808,45809,46689,4388,0,0,1,880,0,"waiting_for=[t92(DRAM,8192B),t93(DRAM,401408B)]"
0,12,conv_2_2_b,,46690,47795,47796,48586,1105,0,0,1,790,0,"waiting_for=[t100(DRAM,18432B),t101(DRAM,103936B)]"
0,13,conv_2_2_c,,48587,51252,51253,52466,2665,0,0,1,1213,0,"waiting_for=[t108(DRAM,8192B),t109(DRAM,100352B),t116(DRAM,200704B),t117(DRAM,200704B)]"
0,14,conv_2_2_res,,52467,55004,58140,60606,2537,0,0,3136,2466,0,"waiting_for=[t116(DRAM,200704B),t117(DRAM,200704B)]"
0,15,conv_3_0_a,,60607,63856,63857,64474,3249,0,0,1,617,0,"waiting_for=[t128(DRAM,16384B),t129(DRAM,380160B)]"
0,16,conv_3_0_b,,64475,65140,65141,65289,665,0,0,1,148,0,"waiting_for=[t136(DRAM,73728B),t137(DRAM,53760B)]"
0,17,conv_3_0_c,,65290,68626,68627,70410,3336,0,0,1,1783,0,"waiting_for=[t144(DRAM,32768B),t145(DRAM,50176B),t153(DRAM,380160B)]"
0,18,conv_3_br,,70411,74534,74535,75939,4123,0,0,1,1404,0,"waiting_for=[t152(DRAM,65536B),t153(DRAM,380160B),t156(DRAM,100352B),t158(DRAM,100352B)]"
0,19,conv_3_0_res,,75940,77381,78949,79672,1441,0,0,1568,723,0,"waiting_for=[t156(DRAM,100352B),t158(DRAM,100352B)]"
0,20,conv_3_1_a,,79673,82390,82391,83101,2717,0,0,1,710,0,"waiting_for=[t172(DRAM,32768B),t173(DRAM,200704B)]"
0,21,conv_3_1_b,,83102,83817,83818,84691,715,0,0,1,873,0,"waiting_for=[t180(DRAM,73728B),t181(DRAM,53760B)]"
0,22,conv_3_1_c,,84692,86314,86315,87205,1622,0,0,1,890,0,"waiting_for=[t188(DRAM,32768B),t189(DRAM,50176B),t196(DRAM,100352B),t197(DRAM,100352B)]"
0,23,conv_3_1_res,,87206,89687,91255,92995,2481,0,0,1568,1740,0,"waiting_for=[t196(DRAM,100352B),t197(DRAM,100352B)]"
0,24,conv_3_2_a,,92996,95097,95098,95432,2101,0,0,1,334,0,"waiting_for=[t208(DRAM,32768B),t209(DRAM,200704B)]"
0,25,conv_3_2_b,,95433,96569,96570,96902,1136,0,0,1,332,0,"waiting_for=[t216(DRAM,73728B),t217(DRAM,53760B)]"
0,26,conv_3_2_c,,96903,98095,98096,99482,1192,0,0,1,1386,0,"waiting_for=[t224(DRAM,32768B),t225(DRAM,50176B),t232(DRAM,100352B),t233(DRAM,100352B)]"
0,27,conv_3_2_res,,99483,101048,102616,104044,1565,0,0,1568,1428,0,"waiting_for=[t232(DRAM,100352B),t233(DRAM,100352B)]"
0,28,conv_3_3_a,,104045,106157,106158,106692,2112,0,0,1,534,0,"waiting_for=[t244(DRAM,32768B),t245(DRAM,200704B)]"
0,29,conv_3_3_b,,106693,108285,108286,108444,1592,0,0,1,158,0,"waiting_for=[t252(DRAM,73728B),t253(DRAM,53760B)]"
0,30,conv_3_3_c,,108445,109621,109622,111250,1176,0,0,1,1628,0,"waiting_for=[t260(DRAM,32768B),t261(DRAM,50176B),t268(DRAM,100352B),t269(DRAM,100352B)]"
0,31,conv_3_3_res,,111251,112306,113874,115304,1055,0,0,1568,1430,0,"waiting_for=[t268(DRAM,100352B),t269(DRAM,100352B)]"
0,32,conv_4_0_a,,115305,117360,117361,117913,2055,0,0,1,552,0,"waiting_for=[t280(DRAM,65536B),t281(DRAM,179712B)]"
0,33,conv_4_0_b,,117914,120741,120742,121447,2827,0,0,1,705,0,"waiting_for=[t288(DRAM,294912B),t289(DRAM,28672B)]"
