cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t1(DRAM,77280B),t4(DRAM,77280B)]"
0,1,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t2(DRAM,76608B),t5(DRAM,76608B)]"
0,2,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t2(DRAM,76608B),t5(DRAM,76608B)]"
0,3,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t1(DRAM,77280B),t4(DRAM,77280B)]"
184,0,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=184,loading_core_cycles=0"
185,0,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
245,1,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=245,loading_core_cycles=0"
246,1,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
307,2,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=307,loading_core_cycles=0"
308,2,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
370,3,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=370,loading_core_cycles=0"
371,3,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
460,0,WRITEBACK,IDLE,1,conv1,"writeback_complete"
461,0,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,4704B),t4(DRAM,77280B),t6(DRAM,77280B)]"
538,1,WRITEBACK,IDLE,1,conv1,"writeback_complete"
539,1,IDLE,LOADING,1,conv1,"waiting_for=[t3(DRAM,4704B),t5(DRAM,76608B),t7(DRAM,76608B)]"
678,2,WRITEBACK,IDLE,1,conv1,"writeback_complete"
679,2,IDLE,LOADING,1,conv1,"waiting_for=[t0(DRAM,4704B),t5(DRAM,76608B),t7(DRAM,76608B)]"
755,0,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=294,loading_core_cycles=0"
756,0,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
819,3,WRITEBACK,IDLE,1,conv1,"writeback_complete"
820,3,IDLE,LOADING,1,conv1,"waiting_for=[t3(DRAM,4704B),t4(DRAM,77280B),t6(DRAM,77280B)]"
895,1,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=356,loading_core_cycles=0"
896,1,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1002,2,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=323,loading_core_cycles=0"
1003,2,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1031,0,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1032,0,IDLE,LOADING,2,conv1,"waiting_for=[t0(DRAM,4704B),t6(DRAM,77280B),t8(DRAM,77280B)]"
1065,3,LOADING,COMPUTING,1,conv1,"compute_cycles=0,loading_dram_cycles=245,loading_core_cycles=0"
1066,3,COMPUTING,WRITEBACK,1,conv1,"writeback_to_dram"
1173,1,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1174,1,IDLE,LOADING,2,conv1,"waiting_for=[t3(DRAM,4704B),t7(DRAM,76608B),t9(DRAM,76608B)]"
1250,0,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=218,loading_core_cycles=0"
1251,0,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1315,2,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1316,2,IDLE,LOADING,2,conv1,"waiting_for=[t0(DRAM,4704B),t7(DRAM,76608B),t9(DRAM,76608B)]"
1393,3,WRITEBACK,IDLE,2,conv1,"writeback_complete"
1394,3,IDLE,LOADING,2,conv1,"waiting_for=[t3(DRAM,4704B),t6(DRAM,77280B),t8(DRAM,77280B)]"
1469,1,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=295,loading_core_cycles=0"
1470,1,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1576,2,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=260,loading_core_cycles=0"
1577,2,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1596,0,WRITEBACK,IDLE,3,conv1,"writeback_complete"
1597,0,IDLE,LOADING,3,conv1,"waiting_for=[t0(DRAM,4704B),t8(DRAM,77280B),t10(DRAM,204288B)]"
1673,3,LOADING,COMPUTING,2,conv1,"compute_cycles=0,loading_dram_cycles=279,loading_core_cycles=0"
1674,3,COMPUTING,WRITEBACK,2,conv1,"writeback_to_dram"
1788,1,WRITEBACK,IDLE,3,conv1,"writeback_complete"
1789,1,IDLE,LOADING,3,conv1,"waiting_for=[t3(DRAM,4704B),t9(DRAM,76608B),t17(DRAM,200704B)]"
1866,2,WRITEBACK,IDLE,3,conv1,"writeback_complete"
1867,2,IDLE,LOADING,3,conv1,"waiting_for=[t0(DRAM,4704B),t9(DRAM,76608B),t13(DRAM,200704B)]"
2067,0,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=470,loading_core_cycles=0"
2068,0,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2166,3,WRITEBACK,IDLE,3,conv1,"writeback_complete"
2167,3,IDLE,LOADING,3,conv1,"waiting_for=[t3(DRAM,4704B),t8(DRAM,77280B),t14(DRAM,204288B)]"
2174,1,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=385,loading_core_cycles=0"
2175,1,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2358,0,WRITEBACK,IDLE,4,pool1,"writeback_complete"
2359,0,IDLE,LOADING,4,pool1,"waiting_for=[t10(DRAM,204288B),t18(DRAM,204288B)]"
2363,2,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=496,loading_core_cycles=0"
2364,2,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2559,3,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=392,loading_core_cycles=0"
2560,3,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
2598,1,WRITEBACK,IDLE,4,pool1,"writeback_complete"
2599,1,IDLE,LOADING,4,pool1,"waiting_for=[t17(DRAM,200704B),t25(DRAM,200704B)]"
2676,2,WRITEBACK,IDLE,4,pool1,"writeback_complete"
2677,2,IDLE,LOADING,4,pool1,"waiting_for=[t13(DRAM,200704B),t21(DRAM,200704B)]"
2877,0,LOADING,COMPUTING,4,pool1,"compute_cycles=784,loading_dram_cycles=518,loading_core_cycles=0"
3069,3,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3070,3,IDLE,LOADING,4,pool1,"waiting_for=[t14(DRAM,204288B),t22(DRAM,204288B)]"
3147,1,LOADING,COMPUTING,4,pool1,"compute_cycles=784,loading_dram_cycles=548,loading_core_cycles=0"
3304,2,LOADING,COMPUTING,4,pool1,"compute_cycles=784,loading_dram_cycles=627,loading_core_cycles=0"
3550,3,LOADING,COMPUTING,4,pool1,"compute_cycles=784,loading_dram_cycles=480,loading_core_cycles=0"
3661,0,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
3730,0,WRITEBACK,IDLE,5,pool1,"writeback_complete"
3731,0,IDLE,LOADING,5,pool1,"waiting_for=[t18(DRAM,204288B),t26(DRAM,204288B)]"
3931,1,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
4000,1,WRITEBACK,IDLE,5,pool1,"writeback_complete"
4001,1,IDLE,LOADING,5,pool1,"waiting_for=[t25(DRAM,200704B),t33(DRAM,200704B)]"
4088,2,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
4178,2,WRITEBACK,IDLE,5,pool1,"writeback_complete"
4179,2,IDLE,LOADING,5,pool1,"waiting_for=[t21(DRAM,200704B),t29(DRAM,200704B)]"
4211,0,LOADING,COMPUTING,5,pool1,"compute_cycles=784,loading_dram_cycles=480,loading_core_cycles=0"
4334,3,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
