cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t1(DRAM,77280B)]"
0,1,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t2(DRAM,76608B),t11(DRAM,200704B)]"
0,2,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t2(DRAM,76608B),t7(DRAM,200704B)]"
0,3,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t1(DRAM,77280B)]"
109,0,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=109,loading_core_cycles=0"
110,0,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
339,1,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=339,loading_core_cycles=0"
340,1,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
361,3,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=361,loading_core_cycles=0"
362,3,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
385,0,WRITEBACK,IDLE,1,pool1,"writeback_complete"
386,0,IDLE,LOADING,1,pool1,"waiting_for=[t4(DRAM,204288B)]"
449,2,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=449,loading_core_cycles=0"
450,2,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
615,1,WRITEBACK,IDLE,1,pool1,"writeback_complete"
616,1,IDLE,LOADING,1,pool1,"waiting_for=[t11(DRAM,200704B),t16(DRAM,100352B)]"
667,0,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=281,loading_core_cycles=0"
693,3,WRITEBACK,IDLE,1,pool1,"writeback_complete"
694,3,IDLE,LOADING,1,pool1,"waiting_for=[t8(DRAM,204288B),t13(DRAM,100352B)]"
889,2,WRITEBACK,IDLE,1,pool1,"writeback_complete"
890,2,IDLE,LOADING,1,pool1,"waiting_for=[t7(DRAM,200704B)]"
1065,1,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=449,loading_core_cycles=0"
1267,3,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=573,loading_core_cycles=0"
1283,2,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=393,loading_core_cycles=0"
1451,0,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
1520,0,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
1521,0,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t12(DRAM,2048B),t13(DRAM,100352B)]"
1660,0,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=139,loading_core_cycles=0"
1661,0,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
1730,0,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
1731,0,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t20(DRAM,18432B),t21(DRAM,103936B)]"
1849,1,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
1882,0,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=151,loading_core_cycles=0"
1883,0,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
1918,1,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
1919,1,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t19(DRAM,2048B),t16(DRAM,100352B),t26(DRAM,103936B)]"
2020,0,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
2021,0,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t28(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
2051,3,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
2067,2,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
2123,3,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
2124,3,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t19(DRAM,2048B),t13(DRAM,100352B)]"
2142,2,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
2143,2,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t12(DRAM,2048B),t16(DRAM,100352B)]"
2160,1,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=241,loading_core_cycles=0"
2161,1,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
2242,1,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
2243,1,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t27(DRAM,18432B),t26(DRAM,103936B),t32(DRAM,100352B)]"
2260,0,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=239,loading_core_cycles=0"
2261,0,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
2281,3,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=157,loading_core_cycles=0"
2282,3,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
2341,2,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=198,loading_core_cycles=0"
2342,2,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
2351,3,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
2352,3,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t27(DRAM,18432B),t21(DRAM,103936B),t29(DRAM,100352B)]"
2459,2,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
2460,2,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t20(DRAM,18432B),t26(DRAM,103936B)]"
2492,1,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=249,loading_core_cycles=0"
2493,1,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
2537,0,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
2538,0,IDLE,LOADING,5,conv_2_br,"waiting_for=[t36(DRAM,8192B),t37(DRAM,100352B),t40(DRAM,200704B),t42(DRAM,200704B)]"
2636,3,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=284,loading_core_cycles=0"
2637,3,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
2688,2,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=228,loading_core_cycles=0"
2689,2,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
2805,1,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
2806,1,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t35(DRAM,8192B),t32(DRAM,100352B),t38(DRAM,100352B)]"
2825,3,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
2826,3,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t35(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
2844,2,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
2845,2,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t28(DRAM,8192B),t32(DRAM,100352B),t38(DRAM,100352B)]"
3083,1,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=277,loading_core_cycles=0"
3084,1,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
3119,0,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=581,loading_core_cycles=0"
3120,0,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
3165,3,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=339,loading_core_cycles=0"
3166,3,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
3247,2,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=402,loading_core_cycles=0"
3248,2,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
3359,1,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
3360,1,IDLE,LOADING,5,conv_2_br,"waiting_for=[t39(DRAM,8192B),t38(DRAM,100352B),t52(DRAM,200704B),t54(DRAM,200704B)]"
3437,0,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
3438,0,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t40(DRAM,200704B),t42(DRAM,200704B)]"
3715,3,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
3716,3,IDLE,LOADING,5,conv_2_br,"waiting_for=[t39(DRAM,8192B),t37(DRAM,100352B),t48(DRAM,200704B),t50(DRAM,200704B)]"
3951,2,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
3952,2,IDLE,LOADING,5,conv_2_br,"waiting_for=[t36(DRAM,8192B),t38(DRAM,100352B),t44(DRAM,200704B),t46(DRAM,200704B)]"
3969,1,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=609,loading_core_cycles=0"
3970,1,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
4186,0,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=748,loading_core_cycles=0"
4429,1,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
4430,1,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t52(DRAM,200704B),t54(DRAM,200704B),t60(DRAM,401408B)]"
4484,3,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=768,loading_core_cycles=0"
4485,3,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
4684,2,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=732,loading_core_cycles=0"
4685,2,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
4823,3,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
4824,3,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t48(DRAM,200704B),t50(DRAM,200704B),t57(DRAM,401408B)]"
5217,2,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
5218,2,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t44(DRAM,200704B),t46(DRAM,200704B)]"
5293,1,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=863,loading_core_cycles=0"
5688,3,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=864,loading_core_cycles=0"
5689,2,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=471,loading_core_cycles=0"
7322,0,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
7597,0,WRITEBACK,IDLE,7,conv_2_1_a,"writeback_complete"
7598,0,IDLE,LOADING,7,conv_2_1_a,"waiting_for=[t56(DRAM,8192B),t57(DRAM,401408B)]"
8151,0,LOADING,COMPUTING,7,conv_2_1_a,"compute_cycles=0,loading_dram_cycles=553,loading_core_cycles=0"
8152,0,COMPUTING,WRITEBACK,7,conv_2_1_a,"writeback_to_dram"
8221,0,WRITEBACK,IDLE,8,conv_2_1_b,"writeback_complete"
8222,0,IDLE,LOADING,8,conv_2_1_b,"waiting_for=[t64(DRAM,18432B),t65(DRAM,103936B)]"
8373,0,LOADING,COMPUTING,8,conv_2_1_b,"compute_cycles=0,loading_dram_cycles=151,loading_core_cycles=0"
8374,0,COMPUTING,WRITEBACK,8,conv_2_1_b,"writeback_to_dram"
8429,1,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
8443,0,WRITEBACK,IDLE,9,conv_2_1_c,"writeback_complete"
8444,0,IDLE,LOADING,9,conv_2_1_c,"waiting_for=[t72(DRAM,8192B),t73(DRAM,100352B),t80(DRAM,200704B),t81(DRAM,200704B)]"
8722,1,WRITEBACK,IDLE,7,conv_2_1_a,"writeback_complete"
