cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
0,0,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t1(DRAM,77280B)]"
0,1,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t2(DRAM,76608B),t11(DRAM,200704B)]"
0,2,IDLE,LOADING,0,conv1,"waiting_for=[t0(DRAM,4704B),t2(DRAM,76608B),t7(DRAM,200704B)]"
0,3,IDLE,LOADING,0,conv1,"waiting_for=[t3(DRAM,4704B),t1(DRAM,77280B)]"
335,0,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=335,loading_core_cycles=0"
336,0,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
587,3,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=587,loading_core_cycles=0"
588,3,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
1149,1,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=1149,loading_core_cycles=0"
1150,1,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
1199,0,WRITEBACK,IDLE,1,pool1,"writeback_complete"
1200,0,IDLE,LOADING,1,pool1,"waiting_for=[t4(DRAM,204288B)]"
1259,2,LOADING,COMPUTING,0,conv1,"compute_cycles=0,loading_dram_cycles=1259,loading_core_cycles=0"
1260,2,COMPUTING,WRITEBACK,0,conv1,"writeback_to_dram"
1451,3,WRITEBACK,IDLE,1,pool1,"writeback_complete"
1452,3,IDLE,LOADING,1,pool1,"waiting_for=[t8(DRAM,204288B),t13(DRAM,100352B)]"
2013,1,WRITEBACK,IDLE,1,pool1,"writeback_complete"
2014,1,IDLE,LOADING,1,pool1,"waiting_for=[t11(DRAM,200704B),t16(DRAM,100352B)]"
2079,0,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=879,loading_core_cycles=0"
2211,2,WRITEBACK,IDLE,1,pool1,"writeback_complete"
2212,2,IDLE,LOADING,1,pool1,"waiting_for=[t7(DRAM,200704B)]"
2723,3,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=1271,loading_core_cycles=0"
2863,0,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
3075,2,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=863,loading_core_cycles=0"
3079,0,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
3080,0,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t12(DRAM,2048B),t13(DRAM,100352B)]"
3269,1,LOADING,COMPUTING,1,pool1,"compute_cycles=784,loading_dram_cycles=1255,loading_core_cycles=0"
3507,3,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
3513,0,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=433,loading_core_cycles=0"
3514,0,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
3723,3,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
3724,3,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t19(DRAM,2048B),t13(DRAM,100352B)]"
3742,0,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
3743,0,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t20(DRAM,18432B),t21(DRAM,103936B)]"
3859,2,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
4053,1,COMPUTING,WRITEBACK,1,pool1,"writeback_to_dram"
4075,2,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
4076,2,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t12(DRAM,2048B),t16(DRAM,100352B)]"
4174,3,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=450,loading_core_cycles=0"
4175,3,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
4267,0,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=524,loading_core_cycles=0"
4268,0,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
4269,1,WRITEBACK,IDLE,2,conv_2_0_a,"writeback_complete"
4270,1,IDLE,LOADING,2,conv_2_0_a,"waiting_for=[t19(DRAM,2048B),t16(DRAM,100352B),t26(DRAM,103936B)]"
4391,3,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
4392,3,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t27(DRAM,18432B),t21(DRAM,103936B),t29(DRAM,100352B)]"
4499,0,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
4500,0,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t28(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
4509,2,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=433,loading_core_cycles=0"
4510,2,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
4726,2,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
4727,2,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t20(DRAM,18432B),t26(DRAM,103936B)]"
5109,1,LOADING,COMPUTING,2,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=839,loading_core_cycles=0"
5110,1,COMPUTING,WRITEBACK,2,conv_2_0_a,"writeback_to_dram"
5213,2,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=486,loading_core_cycles=0"
5214,2,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
5270,3,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=878,loading_core_cycles=0"
5271,3,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
5326,1,WRITEBACK,IDLE,3,conv_2_0_b,"writeback_complete"
5327,0,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=827,loading_core_cycles=0"
5327,1,IDLE,LOADING,3,conv_2_0_b,"waiting_for=[t27(DRAM,18432B),t26(DRAM,103936B),t32(DRAM,100352B)]"
5328,0,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
5434,2,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
5435,2,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t28(DRAM,8192B),t32(DRAM,100352B),t38(DRAM,100352B)]"
5537,3,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
5538,3,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t35(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
6191,0,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
6192,0,IDLE,LOADING,5,conv_2_br,"waiting_for=[t36(DRAM,8192B),t37(DRAM,100352B),t40(DRAM,200704B),t42(DRAM,200704B)]"
6205,1,LOADING,COMPUTING,3,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=878,loading_core_cycles=0"
6206,1,COMPUTING,WRITEBACK,3,conv_2_0_b,"writeback_to_dram"
6263,2,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=828,loading_core_cycles=0"
6264,2,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
6365,3,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=827,loading_core_cycles=0"
6366,3,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
6422,1,WRITEBACK,IDLE,4,conv_2_0_c,"writeback_complete"
6423,1,IDLE,LOADING,4,conv_2_0_c,"waiting_for=[t35(DRAM,8192B),t32(DRAM,100352B),t38(DRAM,100352B)]"
7127,2,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
7128,2,IDLE,LOADING,5,conv_2_br,"waiting_for=[t36(DRAM,8192B),t38(DRAM,100352B),t44(DRAM,200704B),t46(DRAM,200704B)]"
7251,1,LOADING,COMPUTING,4,conv_2_0_c,"compute_cycles=0,loading_dram_cycles=828,loading_core_cycles=0"
7252,1,COMPUTING,WRITEBACK,4,conv_2_0_c,"writeback_to_dram"
7406,3,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
7407,3,IDLE,LOADING,5,conv_2_br,"waiting_for=[t39(DRAM,8192B),t37(DRAM,100352B),t48(DRAM,200704B),t50(DRAM,200704B)]"
8115,1,WRITEBACK,IDLE,5,conv_2_br,"writeback_complete"
8116,1,IDLE,LOADING,5,conv_2_br,"waiting_for=[t39(DRAM,8192B),t38(DRAM,100352B),t52(DRAM,200704B),t54(DRAM,200704B)]"
8195,0,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=2003,loading_core_cycles=0"
8196,0,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
9059,0,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
9060,0,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t40(DRAM,200704B),t42(DRAM,200704B)]"
9131,2,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=2003,loading_core_cycles=0"
9132,2,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
9410,3,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=2003,loading_core_cycles=0"
9411,3,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
9995,2,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
9996,2,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t44(DRAM,200704B),t46(DRAM,200704B)]"
10119,1,LOADING,COMPUTING,5,conv_2_br,"compute_cycles=0,loading_dram_cycles=2003,loading_core_cycles=0"
10120,1,COMPUTING,WRITEBACK,5,conv_2_br,"writeback_to_dram"
10274,3,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
10275,3,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t48(DRAM,200704B),t50(DRAM,200704B),t57(DRAM,401408B)]"
10707,0,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=1647,loading_core_cycles=0"
10983,1,WRITEBACK,IDLE,6,conv_2_0_res,"writeback_complete"
10984,1,IDLE,LOADING,6,conv_2_0_res,"waiting_for=[t52(DRAM,200704B),t54(DRAM,200704B),t60(DRAM,401408B)]"
11643,2,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=1647,loading_core_cycles=0"
13490,3,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=3215,loading_core_cycles=0"
13843,0,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
14199,1,LOADING,COMPUTING,6,conv_2_0_res,"compute_cycles=3136,loading_dram_cycles=3215,loading_core_cycles=0"
14706,0,WRITEBACK,IDLE,7,conv_2_1_a,"writeback_complete"
14707,0,IDLE,LOADING,7,conv_2_1_a,"waiting_for=[t56(DRAM,8192B),t57(DRAM,401408B)]"
14779,2,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
15642,2,WRITEBACK,IDLE,7,conv_2_1_a,"writeback_complete"
15643,2,IDLE,LOADING,7,conv_2_1_a,"waiting_for=[t56(DRAM,8192B),t60(DRAM,401408B)]"
16436,0,LOADING,COMPUTING,7,conv_2_1_a,"compute_cycles=0,loading_dram_cycles=1729,loading_core_cycles=0"
16437,0,COMPUTING,WRITEBACK,7,conv_2_1_a,"writeback_to_dram"
16626,3,COMPUTING,WRITEBACK,6,conv_2_0_res,"writeback_to_dram"
16653,0,WRITEBACK,IDLE,8,conv_2_1_b,"writeback_complete"
16654,0,IDLE,LOADING,8,conv_2_1_b,"waiting_for=[t64(DRAM,18432B),t65(DRAM,103936B)]"
17140,0,LOADING,COMPUTING,8,conv_2_1_b,"compute_cycles=0,loading_dram_cycles=486,loading_core_cycles=0"
17141,0,COMPUTING,WRITEBACK,8,conv_2_1_b,"writeback_to_dram"
