core_id,workload_idx,layer_name,op_type,start_cycle,loading_done_cycle,compute_done_cycle,end_cycle,loading_cycles,loading_dram_cycles,loading_core_cycles,compute_cycles,writeback_cycles,idle_before_cycles,data_sources
0,0,conv1,,0,335,336,1199,335,0,0,1,863,0,"waiting_for=[t0(DRAM,4704B),t1(DRAM,77280B)]"
0,1,pool1,,1200,2079,2863,3079,879,0,0,784,216,0,"waiting_for=[t4(DRAM,204288B)]"
0,2,conv_2_0_a,,3080,3513,3514,3742,433,0,0,1,228,0,"waiting_for=[t12(DRAM,2048B),t13(DRAM,100352B)]"
0,3,conv_2_0_b,,3743,4267,4268,4499,524,0,0,1,231,0,"waiting_for=[t20(DRAM,18432B),t21(DRAM,103936B)]"
0,4,conv_2_0_c,,4500,5327,5328,6191,827,0,0,1,863,0,"waiting_for=[t28(DRAM,8192B),t29(DRAM,100352B),t37(DRAM,100352B)]"
0,5,conv_2_br,,6192,8195,8196,9059,2003,0,0,1,863,0,"waiting_for=[t36(DRAM,8192B),t37(DRAM,100352B),t40(DRAM,200704B),t42(DRAM,200704B)]"
0,6,conv_2_0_res,,9060,10707,13843,14706,1647,0,0,3136,863,0,"waiting_for=[t40(DRAM,200704B),t42(DRAM,200704B)]"
0,7,conv_2_1_a,,14707,16436,16437,16653,1729,0,0,1,216,0,"waiting_for=[t56(DRAM,8192B),t57(DRAM,401408B)]"
0,8,conv_2_1_b,,16654,17140,17141,17357,486,0,0,1,216,0,"waiting_for=[t64(DRAM,18432B),t65(DRAM,103936B)]"
0,9,conv_2_1_c,,17358,19361,19362,20225,2003,0,0,1,863,0,"waiting_for=[t72(DRAM,8192B),t73(DRAM,100352B),t80(DRAM,200704B),t81(DRAM,200704B)]"
0,10,conv_2_1_res,,20226,21873,25009,25872,1647,0,0,3136,863,0,"waiting_for=[t80(DRAM,200704B),t81(DRAM,200704B)]"
0,11,conv_2_2_a,,25873,27602,27603,27819,1729,0,0,1,216,0,"waiting_for=[t92(DRAM,8192B),t93(DRAM,401408B)]"
0,12,conv_2_2_b,,27820,28306,28307,28523,486,0,0,1,216,0,"waiting_for=[t100(DRAM,18432B),t101(DRAM,103936B)]"
0,13,conv_2_2_c,,28524,30527,30528,31391,2003,0,0,1,863,0,"waiting_for=[t108(DRAM,8192B),t109(DRAM,100352B),t116(DRAM,200704B),t117(DRAM,200704B)]"
0,14,conv_2_2_res,,31392,33039,36175,37082,1647,0,0,3136,907,0,"waiting_for=[t116(DRAM,200704B),t117(DRAM,200704B)]"
0,15,conv_3_0_a,,37083,38724,38725,38833,1641,0,0,1,108,0,"waiting_for=[t128(DRAM,16384B),t129(DRAM,380160B)]"
0,16,conv_3_0_b,,38834,39362,39363,39471,528,0,0,1,108,0,"waiting_for=[t136(DRAM,73728B),t137(DRAM,53760B)]"
0,17,conv_3_0_c,,39472,41295,41296,41727,1823,0,0,1,431,0,"waiting_for=[t144(DRAM,32768B),t145(DRAM,50176B),t153(DRAM,380160B)]"
0,18,conv_3_br,,41728,44280,44281,44712,2552,0,0,1,431,0,"waiting_for=[t152(DRAM,65536B),t153(DRAM,380160B),t156(DRAM,100352B),t158(DRAM,100352B)]"
0,19,conv_3_0_res,,44713,45537,47105,47536,824,0,0,1568,431,0,"waiting_for=[t156(DRAM,100352B),t158(DRAM,100352B)]"
0,20,conv_3_1_a,,47537,48463,48464,48572,926,0,0,1,108,0,"waiting_for=[t172(DRAM,32768B),t173(DRAM,200704B)]"
0,21,conv_3_1_b,,48573,49101,49102,49210,528,0,0,1,108,0,"waiting_for=[t180(DRAM,73728B),t181(DRAM,53760B)]"
0,22,conv_3_1_c,,49211,50333,50334,50788,1122,0,0,1,454,0,"waiting_for=[t188(DRAM,32768B),t189(DRAM,50176B),t196(DRAM,100352B),t197(DRAM,100352B)]"
0,23,conv_3_1_res,,50789,51613,53181,53612,824,0,0,1568,431,0,"waiting_for=[t196(DRAM,100352B),t197(DRAM,100352B)]"
0,24,conv_3_2_a,,53613,54539,54540,54648,926,0,0,1,108,0,"waiting_for=[t208(DRAM,32768B),t209(DRAM,200704B)]"
0,25,conv_3_2_b,,54649,55177,55178,55365,528,0,0,1,187,0,"waiting_for=[t216(DRAM,73728B),t217(DRAM,53760B)]"
0,26,conv_3_2_c,,55366,56488,56489,56994,1122,0,0,1,505,0,"waiting_for=[t224(DRAM,32768B),t225(DRAM,50176B),t232(DRAM,100352B),t233(DRAM,100352B)]"
0,27,conv_3_2_res,,56995,57819,59387,59818,824,0,0,1568,431,0,"waiting_for=[t232(DRAM,100352B),t233(DRAM,100352B)]"
0,28,conv_3_3_a,,59819,60745,60746,60854,926,0,0,1,108,0,"waiting_for=[t244(DRAM,32768B),t245(DRAM,200704B)]"
0,29,conv_3_3_b,,60855,61383,61384,61492,528,0,0,1,108,0,"waiting_for=[t252(DRAM,73728B),t253(DRAM,53760B)]"
0,30,conv_3_3_c,,61493,62615,62616,63047,1122,0,0,1,431,0,"waiting_for=[t260(DRAM,32768B),t261(DRAM,50176B),t268(DRAM,100352B),t269(DRAM,100352B)]"
0,31,conv_3_3_res,,63048,63872,65440,65960,824,0,0,1568,520,0,"waiting_for=[t268(DRAM,100352B),t269(DRAM,100352B)]"
0,32,conv_4_0_a,,65961,66946,66947,67001,985,0,0,1,54,0,"waiting_for=[t280(DRAM,65536B),t281(DRAM,179712B)]"
0,33,conv_4_0_b,,67002,68382,68383,68437,1380,0,0,1,54,0,"waiting_for=[t288(DRAM,294912B),t289(DRAM,28672B)]"
