[Topology] mesh=2x2 (4 nodes), 4 cores, 0 DRAM controllers (direct, bypass NoC)
[AddressAllocator] Allocated 3729 transfer blocks, total 5059529.32 MB (alignment=64B)
[Simulator] Loaded IR: 2x2 cores, top_batch_cut=1
[Simulator] Total workloads: 1725, DRAM reads: 376, DRAM writes: 861
[BookSim2NoC] Initialized 2x2 mesh (4 nodes), 8 VCs, 1 subnets (from inline config)
[Ramulator2DRAM] Initialized from inline config (HBM HBM_2Gbps), yaml_clock_ratio=1, sim_clock_ratio=1.00, channels=4, cache_line=64B
[Simulator] Starting simulation...
[Simulator] Cycle 100000, cores done: 0/4, workloads completed: 0/1725 (0.0%)
[Simulator] Cycle 200000, cores done: 0/4, workloads completed: 0/1725 (0.0%)
[Simulator] Cycle 300000, cores done: 0/4, workloads completed: 0/1725 (0.0%)
[Simulator] Cycle 400000, cores done: 0/4, workloads completed: 4/1725 (0.2%)
[Simulator] Cycle 500000, cores done: 0/4, workloads completed: 4/1725 (0.2%)
[Simulator] Cycle 600000, cores done: 0/4, workloads completed: 4/1725 (0.2%)
[Simulator] Cycle 700000, cores done: 0/4, workloads completed: 8/1725 (0.5%)
[Simulator] Cycle 800000, cores done: 0/4, workloads completed: 8/1725 (0.5%)
[Simulator] Cycle 900000, cores done: 0/4, workloads completed: 8/1725 (0.5%)
[Simulator] Cycle 1000000, cores done: 0/4, workloads completed: 12/1725 (0.7%)
[Simulator] Cycle 1100000, cores done: 0/4, workloads completed: 12/1725 (0.7%)
[Simulator] Cycle 1200000, cores done: 0/4, workloads completed: 12/1725 (0.7%)
[Simulator] Cycle 1300000, cores done: 0/4, workloads completed: 16/1725 (0.9%)
[Simulator] Cycle 1400000, cores done: 0/4, workloads completed: 16/1725 (0.9%)
[Simulator] Cycle 1500000, cores done: 0/4, workloads completed: 16/1725 (0.9%)
[Simulator] Cycle 1600000, cores done: 0/4, workloads completed: 17/1725 (1.0%)
[Simulator] Cycle 1700000, cores done: 0/4, workloads completed: 20/1725 (1.2%)
[Simulator] Cycle 1800000, cores done: 0/4, workloads completed: 20/1725 (1.2%)
[Simulator] Cycle 1900000, cores done: 0/4, workloads completed: 20/1725 (1.2%)
[Simulator] Cycle 2000000, cores done: 0/4, workloads completed: 24/1725 (1.4%)
[Simulator] Cycle 2100000, cores done: 0/4, workloads completed: 24/1725 (1.4%)
[Simulator] Cycle 2200000, cores done: 0/4, workloads completed: 28/1725 (1.6%)
[Simulator] Cycle 2300000, cores done: 0/4, workloads completed: 28/1725 (1.6%)
[Simulator] Cycle 2400000, cores done: 0/4, workloads completed: 32/1725 (1.9%)
[Simulator] Cycle 2500000, cores done: 0/4, workloads completed: 32/1725 (1.9%)
[Simulator] Cycle 2600000, cores done: 0/4, workloads completed: 35/1725 (2.0%)
[Simulator] Cycle 2700000, cores done: 0/4, workloads completed: 36/1725 (2.1%)
[Simulator] Cycle 2800000, cores done: 0/4, workloads completed: 38/1725 (2.2%)
[Simulator] Cycle 2900000, cores done: 0/4, workloads completed: 40/1725 (2.3%)
[Simulator] Cycle 3000000, cores done: 0/4, workloads completed: 40/1725 (2.3%)
[Simulator] Cycle 3100000, cores done: 0/4, workloads completed: 44/1725 (2.6%)
[Simulator] Cycle 3200000, cores done: 0/4, workloads completed: 44/1725 (2.6%)
[Simulator] Cycle 3300000, cores done: 0/4, workloads completed: 48/1725 (2.8%)
[Simulator] Cycle 3400000, cores done: 0/4, workloads completed: 48/1725 (2.8%)
[Simulator] Cycle 3500000, cores done: 0/4, workloads completed: 52/1725 (3.0%)
[Simulator] Cycle 3600000, cores done: 0/4, workloads completed: 52/1725 (3.0%)
[Simulator] Cycle 3700000, cores done: 0/4, workloads completed: 55/1725 (3.2%)
[Simulator] Cycle 3800000, cores done: 0/4, workloads completed: 56/1725 (3.2%)
[Simulator] Cycle 3900000, cores done: 0/4, workloads completed: 57/1725 (3.3%)
[Simulator] Cycle 4000000, cores done: 0/4, workloads completed: 60/1725 (3.5%)
[Simulator] Cycle 4100000, cores done: 0/4, workloads completed: 60/1725 (3.5%)
[Simulator] Cycle 4200000, cores done: 0/4, workloads completed: 64/1725 (3.7%)
[Simulator] Cycle 4300000, cores done: 0/4, workloads completed: 64/1725 (3.7%)
[Simulator] Cycle 4400000, cores done: 0/4, workloads completed: 68/1725 (3.9%)
[Simulator] Cycle 4500000, cores done: 0/4, workloads completed: 68/1725 (3.9%)
[Simulator] Cycle 4600000, cores done: 0/4, workloads completed: 69/1725 (4.0%)
[Simulator] Cycle 4700000, cores done: 0/4, workloads completed: 72/1725 (4.2%)
[Simulator] Cycle 4800000, cores done: 0/4, workloads completed: 75/1725 (4.3%)
[Simulator] Cycle 4900000, cores done: 0/4, workloads completed: 75/1725 (4.3%)
[Simulator] Cycle 5000000, cores done: 0/4, workloads completed: 78/1725 (4.5%)
[Simulator] Cycle 5100000, cores done: 0/4, workloads completed: 78/1725 (4.5%)
[Simulator] Cycle 5200000, cores done: 0/4, workloads completed: 81/1725 (4.7%)
[Simulator] Cycle 5300000, cores done: 0/4, workloads completed: 84/1725 (4.9%)
[Simulator] Cycle 5400000, cores done: 0/4, workloads completed: 84/1725 (4.9%)
[Simulator] Cycle 5500000, cores done: 0/4, workloads completed: 87/1725 (5.0%)
[Simulator] Cycle 5600000, cores done: 0/4, workloads completed: 90/1725 (5.2%)
[Simulator] Cycle 5700000, cores done: 0/4, workloads completed: 90/1725 (5.2%)
[Simulator] Cycle 5800000, cores done: 0/4, workloads completed: 93/1725 (5.4%)
[Simulator] Cycle 5900000, cores done: 0/4, workloads completed: 93/1725 (5.4%)
[Simulator] Cycle 6000000, cores done: 0/4, workloads completed: 96/1725 (5.6%)
[Simulator] Cycle 6100000, cores done: 0/4, workloads completed: 97/1725 (5.6%)
[Simulator] Cycle 6200000, cores done: 0/4, workloads completed: 99/1725 (5.7%)
[Simulator] Cycle 6300000, cores done: 0/4, workloads completed: 101/1725 (5.9%)
[Simulator] Cycle 6400000, cores done: 0/4, workloads completed: 103/1725 (6.0%)
[Simulator] Cycle 6500000, cores done: 0/4, workloads completed: 105/1725 (6.1%)
[Simulator] Cycle 6600000, cores done: 0/4, workloads completed: 106/1725 (6.1%)
[Simulator] Cycle 6700000, cores done: 0/4, workloads completed: 108/1725 (6.3%)
[Simulator] Cycle 6800000, cores done: 0/4, workloads completed: 110/1725 (6.4%)
[Simulator] Cycle 6900000, cores done: 0/4, workloads completed: 112/1725 (6.5%)
[Simulator] Cycle 7000000, cores done: 0/4, workloads completed: 114/1725 (6.6%)
[Simulator] Cycle 7100000, cores done: 0/4, workloads completed: 116/1725 (6.7%)
[Simulator] Cycle 7200000, cores done: 0/4, workloads completed: 118/1725 (6.8%)
[Simulator] Cycle 7300000, cores done: 0/4, workloads completed: 120/1725 (7.0%)
[Simulator] Cycle 7400000, cores done: 0/4, workloads completed: 120/1725 (7.0%)
[Simulator] Cycle 7500000, cores done: 0/4, workloads completed: 122/1725 (7.1%)
[Simulator] Cycle 7600000, cores done: 0/4, workloads completed: 124/1725 (7.2%)
[Simulator] Cycle 7700000, cores done: 0/4, workloads completed: 124/1725 (7.2%)
[Simulator] Cycle 7800000, cores done: 0/4, workloads completed: 125/1725 (7.2%)
[Simulator] Cycle 7900000, cores done: 0/4, workloads completed: 127/1725 (7.4%)
[Simulator] Cycle 8000000, cores done: 0/4, workloads completed: 128/1725 (7.4%)
[Simulator] Cycle 8100000, cores done: 0/4, workloads completed: 128/1725 (7.4%)
[Simulator] Cycle 8200000, cores done: 0/4, workloads completed: 130/1725 (7.5%)
[Simulator] Cycle 8300000, cores done: 0/4, workloads completed: 132/1725 (7.7%)
[Simulator] Cycle 8400000, cores done: 0/4, workloads completed: 132/1725 (7.7%)
[Simulator] Cycle 8500000, cores done: 0/4, workloads completed: 134/1725 (7.8%)
[Simulator] Cycle 8600000, cores done: 0/4, workloads completed: 136/1725 (7.9%)
[Simulator] Cycle 8700000, cores done: 0/4, workloads completed: 136/1725 (7.9%)
[Simulator] Cycle 8800000, cores done: 0/4, workloads completed: 137/1725 (7.9%)
[Simulator] Cycle 8900000, cores done: 0/4, workloads completed: 139/1725 (8.1%)
[Simulator] Cycle 9000000, cores done: 0/4, workloads completed: 140/1725 (8.1%)
[Simulator] Cycle 9100000, cores done: 0/4, workloads completed: 140/1725 (8.1%)
[Simulator] Cycle 9200000, cores done: 0/4, workloads completed: 142/1725 (8.2%)
[Simulator] Cycle 9300000, cores done: 0/4, workloads completed: 144/1725 (8.3%)
[Simulator] Cycle 9400000, cores done: 0/4, workloads completed: 146/1725 (8.5%)
[Simulator] Cycle 9500000, cores done: 0/4, workloads completed: 148/1725 (8.6%)
[Simulator] Cycle 9600000, cores done: 0/4, workloads completed: 149/1725 (8.6%)
[Simulator] Cycle 9700000, cores done: 0/4, workloads completed: 151/1725 (8.8%)
[Simulator] Cycle 9800000, cores done: 0/4, workloads completed: 153/1725 (8.9%)
[Simulator] Cycle 9900000, cores done: 0/4, workloads completed: 155/1725 (9.0%)
